word                 :  count     
lamarter             :  1         
lamp                 :  1         
land                 :  1         
language             :  3         
languages            :  1         
languid              :  1         
lanterns             :  1         
lap                  :  1         
large                :  9         
last                 :  6         
late                 :  4         
laugh                :  1         
laughing             :  2         
laughs               :  2         
laughter             :  1         
law                  :  2         
laws                 :  8         
lay                  :  1         
lazily               :  1         
leading              :  1         
leads                :  1         
leans                :  3         
learn                :  5         
learned              :  2         
learning             :  2         
least                :  6         
leave                :  6         
leaves               :  3         
leaving              :  3         
leclercq             :  1         
ledge                :  3         
left                 :  5         
legal                :  2         
legally              :  1         
lend                 :  1         
length               :  1         
lengthening          :  1         
less                 :  4         
lessen               :  1         
lessons              :  10        
let                  :  10        
lets                 :  8         
letter               :  4         
letting              :  1         
lewis                :  5         
liability            :  3         
liable               :  1         
library              :  1         
license              :  15        
licensed             :  1         
lie                  :  1         
lieu                 :  2         
life                 :  3         
light                :  6         
lightning            :  2         
lights               :  4         
like                 :  55        
liked                :  3         
likely               :  1         
likes                :  1         
liking               :  1         
limitation           :  3         
limited              :  5         
limitless            :  1         
line                 :  2         
lines                :  2         
linked               :  1         
links                :  3         
literary             :  13        
little               :  25        
live                 :  4         
lived                :  3         
livery               :  1         
living               :  4         
loaf                 :  2         
lobster              :  4         
lobsters             :  7         
located              :  4         
locations            :  2         
locked               :  1         
long                 :  9         
longer               :  1         
longest              :  1         
look                 :  25        
looked               :  1         
looking              :  15        
looks                :  20        
loose                :  1         
lose                 :  2         
lost                 :  3         
lot                  :  3         
lots                 :  1         
louder               :  2         
loudly               :  2         
love                 :  2         
low                  :  2         
lower                :  2         
lullabies            :  1         
lullaby              :  2         
lumps                :  1         
m                    :  3         
machine              :  1         
mad                  :  12        
made                 :  7         
mael                 :  1         
maid                 :  1         
mail                 :  1         
main                 :  1         
maintaining          :  1         
majesty              :  13        
make                 :  17        
makes                :  10        
making               :  2         
mallet               :  1         
mallets              :  1         
mamma                :  1         
man                  :  5         
manage               :  3         
managed              :  1         
manner               :  1         
manners              :  2         
mantel               :  3         
manuscript           :  1         
many                 :  12        
map                  :  2         
march                :  48        
mark                 :  1         
marked               :  4         
mary                 :  1         
master               :  4         
matter               :  5         
maximum              :  1         
may                  :  31        
maybe                :  1         
maynt                :  1         
mcclurg              :  1         
me                   :  61        
mean                 :  21        
meaning              :  8         
means                :  10        
meant                :  6         
meanwhile            :  1         
measurements         :  1         
measures             :  2         
medium               :  5         
meekly               :  1         
meet                 :  6         
meets                :  1         
melan                :  1         
memory               :  4         
mention              :  1         
mentioned            :  1         
merchantibility      :  1         
messenger            :  1         
messengers           :  3         
met                  :  1         
method               :  1         
methods              :  1         
michael              :  2         
middle               :  4         
might                :  13        
mile                 :  1         
milk                 :  2         
mimsy                :  1         
mind                 :  5         
minded               :  2         
minding              :  1         
mine                 :  8         
mineral              :  1         
minute               :  1         
minutes              :  1         
mirror               :  4         
mischief             :  2         
miss                 :  4         
mission              :  4         
mississippi          :  1         
mist                 :  1         
mistake              :  2         
moans                :  1         
mock                 :  52        
mocks                :  1         
modern               :  1         
modification         :  1         
modified             :  1         
mome                 :  1         
moment               :  1         
money                :  3         
monocle              :  1         
month                :  2         
months               :  1         
moon                 :  3         
moral                :  8         
morals               :  1         
more                 :  22        
morning              :  2         
most                 :  8         
mother               :  1         
mousetraps           :  1         
mouth                :  4         
mouths               :  3         
move                 :  4         
moves                :  3         
moving               :  1         
mr                   :  2         
much                 :  20        
muchness             :  3         
muddle               :  1         
mulberry             :  1         
murdering            :  1         
mushroom             :  7         
music                :  20        
must                 :  38        
mustard              :  3         
mustnt               :  1         
my                   :  54        
myself               :  8         
mysterious           :  4         
mysteriously         :  1         
mystery              :  2         
name                 :  16        
named                :  1         
names                :  2         
nap                  :  2         
narrow               :  1         
nasty                :  1         
naturally            :  1         
naughty              :  1         
near                 :  3         
nearly               :  4         
necessarily          :  1         
neck                 :  3         
need                 :  2         
neednt               :  2         
negligence           :  1         
neighbors            :  1         
neither              :  1         
nervous              :  1         
nervously            :  1         
network              :  1         
never                :  35        
new                  :  7         
newby                :  1         
newsletter           :  1         
next                 :  13        
nibbling             :  1         
nice                 :  4         
nicely               :  1         
night                :  5         
nine                 :  6         
no                   :  66        
nobody               :  12        
noise                :  1         
non                  :  1         
nonchalantly         :  1         
none                 :  3         
nonproprietary       :  1         
nonsense             :  4         
nor                  :  2         
north                :  1         
nose                 :  5         
not                  :  76        
nothing              :  17        
notice               :  4         
noticing             :  1         
notifies             :  1         
notion               :  3         
now                  :  33        
nowhere              :  1         
number               :  4         
numerous             :  1         
nurse                :  1         
o                    :  2         
obeyed               :  1         
obliged              :  1         
obsolete             :  1         
obstacle             :  1         
obtain               :  3         
obtaining            :  2         
occur                :  1         
oclock               :  3         
odd                  :  2         
of                   :  384       
off                  :  48        
offended             :  1         
offer                :  2         
offers               :  2         
office               :  2         
officer              :  2         
official             :  3         
often                :  4         
oh                   :  62        
old                  :  9         
on                   :  97        
once                 :  8         
one                  :  63        
ones                 :  4         
onions               :  1         
online               :  6         
only                 :  39        
onto                 :  1         
oop                  :  2         
ootiful              :  2         
op                   :  1         
open                 :  5         
opened               :  2         
opens                :  3         
opinion              :  1         
opportunities        :  1         
opportunity          :  2         
opposite             :  1         
or                   :  102       
orange               :  2         
orchestra            :  1         
order                :  1         
organized            :  1         
original             :  1         
originator           :  1         
other                :  36        
others               :  8         
otherwise            :  3         
ought                :  8         
our                  :  12        
ours                 :  1         
ourselves            :  1         
out                  :  70        
outdated             :  1         
outgrabe             :  1         
outside              :  5         
over                 :  19        
owed                 :  1         
own                  :  5         
owner                :  6         
owns                 :  2         
oyster               :  2         
oysters              :  6         
pack                 :  4         
page                 :  3         
pages                :  1         
paid                 :  6         
paint                :  3         
paints               :  1         
pan                  :  2         
pans                 :  2         
panting              :  1         
pants                :  1         
paper                :  3         
papers               :  1         
paperwork            :  1         
paragraph            :  11        
paragraphs           :  3         
parchment            :  3         
pardon               :  3         
part                 :  7         
particular           :  3         
particularly         :  1         
partner              :  1         
partners             :  1         
party                :  4         
pass                 :  1         
passed               :  2         
passes               :  1         
passion              :  1         
past                 :  2         
pat                  :  1         
patters              :  1         
pawn                 :  5         
paws                 :  1         
pay                  :  3         
paying               :  2         
payments             :  3         
pays                 :  3         
peculiar             :  1         
pence                :  1         
pencil               :  1         
penhallow            :  1         
people               :  11        
pepper               :  6         
perfectly            :  1         
perform              :  1         
performances         :  1         
performed            :  1         
performing           :  3         
perhaps              :  7         
periodic             :  1         
permain              :  2         
permanent            :  1         
permission           :  7         
permitted            :  2         
person               :  6         
personal             :  2         
petrified            :  1         
pg                   :  1         
pglaf                :  1         
photographs          :  1         
phrase               :  4         
physical             :  2         
pick                 :  1         
picked               :  2         
picks                :  6         
piece                :  5         
pieces               :  1         
pig                  :  7         
pigs                 :  1         
pin                  :  1         
pinch                :  2         
